beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Sand Point Beach,2019-08-20,14.4,20.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2019-08-27,1.7,12.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-06-02,5.5,5.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-06-09,4.2,4.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-06-16,25.3,8.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-06-23,99.7,15.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-06-30,151.1,24.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-07-01,152.2,33.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-07-07,317.4,65.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-07-14,344.7,136.1,,Y,ecoli_30dayGM,PriorLake,70002600,mpn
Sand Point Beach,2020-07-15,456.4,161.7,,Y,ecoli_30dayGM,PriorLake,70002600,mpn
Sand Point Beach,2020-07-21,7.9,137.1,,Y,ecoli_30dayGM,PriorLake,70002600,mpn
Sand Point Beach,2020-07-22,7.3,95.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-07-28,68.2,90.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-08-04,6.6,53.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-08-11,13.9,34.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-08-18,2.4,9.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-08-25,11,11.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2020-09-01,14.5,8.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-05-25,36.5,36.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-06-08,11,20,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-06-15,1.4,8.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-06-22,1.4,5.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-06-30,3.5,3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-07-06,1,2.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-07-13,1.7,1.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-07-20,2.8,1.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-07-27,2.2,2.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-08-03,1,1.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-08-10,24.1,3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-08-17,1,2.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-08-24,97.1,5.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2021-08-31,25.1,9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-05-24,2.8,2.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-05-31,122,18.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-06-07,1.4,7.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-06-14,5,7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-06-21,11.8,7.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-06-28,14,10.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-07-05,28,8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-07-12,3,9.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-07-19,4.5,9.1,,N,NA,PriorLake,70002600,mpn
