Date,Ecoli_units,BeachName,Ecoli_1dGM,Ecoli_30dGM,ClosureYN,ClosureReason,MonitoringOrg,DOW
2017-07-05,mpn,Alimagnet,312.8498042192131,120.40055725212059,N,NA,Burnsville,19002100
2017-07-10,mpn,Alimagnet,23.1,103.52832306805476,N,NA,Burnsville,19002100
2017-07-17,mpn,Alimagnet,88.40418542127969,64.09231647684108,N,NA,Burnsville,19002100
2017-07-24,mpn,Alimagnet,95.89056262218926,72.36994492350512,N,NA,Burnsville,19002100
2017-07-31,mpn,Alimagnet,30.334139183434893,71.4209540456177,N,NA,Burnsville,19002100
2017-08-07,mpn,Alimagnet,135.94116374373144,60.45450456621767,N,NA,Burnsville,19002100
2017-08-15,mpn,Alimagnet,38.277930978567795,66.87995333900706,N,NA,Burnsville,19002100
2017-08-22,mpn,Alimagnet,28.45628225893186,53.31347955182077,N,NA,Burnsville,19002100
2018-05-29,mpn,Alimagnet,10.379306335203717,10.379306335203717,N,NA,Burnsville,19002100
2018-06-04,mpn,Alimagnet,4.419275958796871,6.772667048966296,N,NA,Burnsville,19002100
2018-06-11,mpn,Alimagnet,17.42928569964931,9.281104874848465,N,NA,Burnsville,19002100
2018-06-20,mpn,Alimagnet,74.58867206218382,15.62672534001426,N,NA,Burnsville,19002100
2018-06-25,mpn,Alimagnet,27.048844707306817,17.43910237792628,N,NA,Burnsville,19002100
2018-07-02,mpn,Alimagnet,42.72540228014243,23.143428339643265,N,NA,Burnsville,19002100
2018-07-09,mpn,Alimagnet,32.107320037648734,34.409493538624275,N,NA,Burnsville,19002100
2018-07-16,mpn,Alimagnet,31.48714023216462,38.73013460221602,N,NA,Burnsville,19002100
2018-07-23,mpn,Alimagnet,10.89954127475097,26.36307561772341,N,NA,Burnsville,19002100
2018-07-30,mpn,Alimagnet,247.53181613683523,41.04805058889552,N,NA,Burnsville,19002100
2018-08-06,mpn,Alimagnet,192.9310757757806,55.49268543619607,N,NA,Burnsville,19002100
2018-08-13,mpn,Alimagnet,90.6509790349779,68.29508192618859,N,NA,Burnsville,19002100
2018-08-20,mpn,Alimagnet,325.5533750401,108.96505115778918,N,NA,Burnsville,19002100
2018-08-27,mpn,Alimagnet,136.92333621410194,180.7594775870488,Y,Ecoli_30dGM,Burnsville,19002100
NA,NA,Alimagnet,36.87817782917155,NA,NA,NA,Burnsville,19002100
2006-08-01,NA,Crystal Beach,3.9148676411688634,3.9148676411688634,N,NA,Burnsville,19002700
2006-08-08,NA,Crystal Beach,3.3019272488946263,3.59535925050492,N,NA,Burnsville,19002700
2006-08-15,NA,Crystal Beach,19.218168565924874,6.286354392672994,N,NA,Burnsville,19002700
2006-08-22,NA,Crystal Beach,2.154434690031884,4.809860478941431,N,NA,Burnsville,19002700
2006-08-30,NA,Crystal Beach,90.46711868766683,8.64976153923639,N,NA,Burnsville,19002700
2007-05-29,NA,Crystal Beach,2.2894284851066637,2.2894284851066637,N,NA,Burnsville,19002700
2007-06-04,NA,Crystal Beach,6.46330407009565,3.8467222990466596,N,NA,Burnsville,19002700
