BeachName,Date,Ecoli_1dGM,Temp_F,Notes,ClosureYN,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureReason,MonitoringOrg,DNRID
Libbs Lake,07/20/2021,1.3195079107728942,78.7,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/10/2021,3.0456975644555886,76,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/08/2022,2.9325756597230357,69.9,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/13/2022,753.9294320894691,78.2,NA,Y,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/19/2022,7.451325617832276,81,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/10/2022,4.723035281745028,76.9,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/09/2023,7.841754807449228,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/06/2023,2.904309387716262,76.1,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/03/2023,4.702826672265132,82.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,05/30/2024,9.584416755720573,67,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/27/2024,NA,76.3,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/25/2024,23.618958233933082,76.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,08/22/2024,3.90788526899999,74.3,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
